a2d28b8 - DraTelligence, 2025-12-26 : chore: 更新了项目文档
01c4ebb - rickysun2006, 2025-12-25 : feat: 完成了项目文档中有关ai usage的部分（open source还没写！）
583c3c5 - DraTelligence, 2025-12-24 : feat: 完成了项目文档中有关结构设计的部分，并注明了我个人的贡献
cd4f67d - Ricky Sun, 2025-12-24 : feat: 添加项目文档，包含开发者信息、贡献和项目架构设计描述
d31ace1 - Ricky Sun, 2025-12-23 : feat: 添加了文档文件以支持项目说明
01ae08e - DraTelligence, 2025-12-17 : feat: 更新README.md，添加项目概述、功能、运行指南及项目结构
ad3c8df - DraTelligence, 2025-12-17 : fix: 真的真的修了refresh功能！
53e83bb - DraTelligence, 2025-12-17 : feat: 为v1客户端也添加了v2的一些很coooooool的改进
65f58d0 - DraTelligence, 2025-12-17 : feat： 优化了calc模式的ui
5cf536b - DraTelligence, 2025-12-17 : fix: 修复了不能正常自动识别卷积核的问题
688eec4 - DraTelligence, 2025-12-17 : Merge branch 'main' of https://github.com/rickysun2006/cs207-digital-logic-project
93ebf6a - DraTelligence, 2025-12-17 : feat:基本完成了算术逻辑
fa8a1cf - DraTelligence, 2025-12-17 : feat: 完成了算术模式下的复杂交互逻辑
90d4ade - DraTelligence, 2025-12-17 : feat: 更新了ui，并增加了输入数值检测
27b0717 - DraTelligence, 2025-12-17 : feat: 现在打开客户端时会自动连接服务器了
1fcb565 - DraTelligence, 2025-12-17 : fix: 修复了一系列错误
58fb187 - DraTelligence, 2025-12-17 : feat: 修改了客户端的ui，使得功能界面更加美观
d892418 - DraTelligence, 2025-12-17 : fix: 现在进入display mod时不会堆叠重复的统计信息了
a197302 - DraTelligence, 2025-12-17 : feat: 将premium客户端进入各个模式的提示词与最新版同步
d792370 - DraTelligence, 2025-12-16 : feat: 添加了进入模式的消息提示，用于帮助客户端自动化
1decbeb - DraTelligence, 2025-12-16 : feat: 尝试制作了一个功能更丰富的客户端
3bdc748 - DraTelligence, 2025-12-16 : feat: 更新了操作文档
196d37e - DraTelligence, 2025-12-16 : feat: 实现了系统自动选取运算数的逻辑。这是最后一个功能点了！
6aa7798 - DraTelligence, 2025-12-16 : fix: 修复了杂七杂八的bug
de5038e - DraTelligence, 2025-12-16 : feat: 实现了配置功能
5d41078 - DraTelligence, 2025-12-16 : feat: 添加了err状态及倒计时功能
c9dfd5c - DraTelligence, 2025-12-16 : feat: 修改了calc系统的交互逻辑
4eba0d8 - DraTelligence, 2025-12-16 : feat: 直接将所有矩阵运算的结果输出，并删除了所有预留的写回内存的逻辑接口
37f9ac5 - DraTelligence, 2025-12-16 : feat: 统一调整所有运算的输出逻辑为直接打印到终端，避免了数据溢出
3edecd0 - DraTelligence, 2025-12-16 : 调整了卷积输出逻辑，现在可以正常输出127范围以外的数字了
00e51fd - DraTelligence, 2025-12-16 : feat: 将python cache文件加入了gitignore
9795e81 - DraTelligence, 2025-12-16 : feat: 添加了一个模拟uart，用于调试的客户端入口
